iata,a_m2,a_mA,a_mD,a_s2,a_sA,a_sD,a_d2,a_dA,a_dD,a_i2,a_iA,a_iD,p_m2,p_mA,p_mD,p_s2,p_sA,p_sD,p_d2,p_dA,p_dD,p_i2,p_iA,p_iD,ndays
LAX,517293.99999999825,258730.99999999808,258563.0000000032,90081240.00000028,45063740.99999942,45017498.999999695,61464328.999999784,30736265.000000034,30728064.00000001,28616910.999999993,14327475.99999988,14289434.99999987,136.97765394062253,67.75587652530561,74.19502351631508,21962.882055060087,12008.20871619069,11843.357517781444,17279.328668135073,9183.12784161537,10243.164097243267,10190.946372469203,5061.9798366365285,7258.306380212689,365
ORD,818017.9999999963,408819.00000000227,409198.9999999992,100860025.99999963,50375818.999999925,50484207.0000001,83010149.99999961,41504444.99999977,41505704.9999998,17849876.000000168,8871373.999999814,8978501.99999989,252.54026478020722,138.3823785265641,122.22682565891307,31405.314053483187,16628.682242953968,15305.985813722662,26088.302172890664,13681.613599562017,13703.585590226767,7023.894691060568,4937.878582793372,4287.276262340086,365
PVG,514647.0000000014,257435.99999999913,257210.9999999989,100867897.0,50472612.99999997,50395283.999999896,55311832.000000075,27669472.00000009,27642359.99999992,45556064.99999999,22803141.00000011,22752923.99999997,97.48094683094683,56.62405927405928,63.974003774003776,19896.520276945277,11099.21585081585,12466.021428571428,12537.813464313465,8474.49902042402,9251.695238095239,10047.26858141858,7124.927564102563,7321.685714285713,365
SFO,377444.0000000028,188771.99999999936,188672.00000000128,64642804.99999962,32337868.999999586,32304936.00000004,45235965.99999997,22615604.999999873,22620361.00000014,19406838.99999999,9722263.99999997,9684574.999999925,100.9944661447029,62.71610958390265,60.519328775799366,16362.564850344042,10577.28138998676,9594.771207615917,13944.780527140363,8967.833055180114,7011.628590378184,6285.323533396115,3222.0,4960.928571428571,365
ATL,782068.9999999985,390961.00000000064,391108.0000000005,126131439.00000057,63045011.0000004,63086428.00000013,107826489.00000018,53914209.00000034,53912280.00000035,18304949.999999784,9130802.000000065,9174148.00000021,217.78434314678253,117.43340109470688,114.59156098803159,33443.32303787834,19267.266525560488,18120.45762577292,31057.799098175306,17938.195721771823,15360.600238715531,7118.425672987145,4958.601973353444,5043.74283355087,365
CAN,520574.00000000076,260309.99999999919,260263.9999999991,98902607.0000002,49450907.00000012,49451700.000000075,77813179.00000003,38898479.99999994,38914698.99999993,21089427.99999986,10552426.999999998,10537001.000000004,95.617982017982,67.37689671439672,64.68095238095238,18752.654567654565,12356.891325341327,12187.382700632701,16031.56704129204,11594.724658674659,11493.69761904762,5292.148717948718,3706.2300699300695,3835.7023809523807,365
ICN,366262.00000000093,183175.99999999942,183086.00000000035,85295448.00000033,42655974.99999979,42639472.99999993,0.0,0.0,0.0,85295448.00000033,42655974.99999979,42639472.99999993,74.37380952380951,46.941003441003446,54.13660783660784,18254.78856698857,13051.365545565546,13667.801565101567,0.0,0.0,0.0,18254.78856698857,13051.365545565546,13667.801565101567,365
KUL,389808.00000000064,194895.99999999962,194911.99999999985,77929448.0,38960215.0,38969232.99999994,21100935.999999925,10548686.99999995,10552249.000000041,56828512.00000004,28411527.999999963,28416983.99999973,85.46327977577977,49.07544955044954,58.5740897990898,17014.15677378177,9843.826361138861,12052.418967143967,5927.987021312021,3485.3307692307694,3783.883666333666,11912.526051726054,7530.022481684982,9210.850538350536,365
IST,505063.0000000015,252474.99999999744,252587.9999999999,101499294.00000106,50740979.99999961,50758314.00000036,20335770.000000127,10168209.000000011,10167561.000000093,81163523.99999984,40572771.00000017,40590753.000000134,116.25836620895446,74.21461401343754,79.29873825520883,24885.434395016746,14858.585722478381,16473.35681207681,6471.485892994946,5022.225619463781,5611.9886600877835,20995.184348461993,14211.81758717704,15774.588526114407,365
MCO,386488.9999999979,193225.9999999997,193263.00000000093,69551897.00000003,34772819.99999989,34779077.000000075,56297555.00000006,28144771.99999998,28152782.999999937,13254342.000000019,6628047.999999925,6626293.999999981,106.22351331674861,53.16072823086666,55.532102848887774,19165.922230481934,10203.519961427462,9875.49973183679,16383.028789870259,8242.859523809524,8879.1855725493,4518.817120229317,3599.33893739005,2605.4103902633324,365
PKX,346452.99999999965,173235.00000000017,173218.00000000015,63724684.99999991,31855547.000000037,31869138.000000022,56592867.00000004,28283334.999999978,28309532.000000037,7131818.000000044,3572211.999999999,3559605.9999999907,72.63531191031191,49.454761904761895,56.49420301920301,13411.505289155288,9046.602380952381,10288.175163725162,12967.0808968809,8860.602380952381,9989.510306360306,2433.0938228438235,1807.9236596736596,1854.6664335664336,365
