iata,a_m2,a_mA,a_mD,a_s2,a_sA,a_sD,a_d2,a_dA,a_dD,a_i2,a_iA,a_iD,p_m2,p_mA,p_mD,p_s2,p_sA,p_sD,p_d2,p_dA,p_dD,p_i2,p_iA,p_iD,ndays
LAX,517293.99999999977,258730.99999999919,258563.00000000242,90081240.00000037,45063740.999999814,45017498.99999994,61464328.99999969,30736264.99999998,30728064.000000015,28616911.000000045,14327475.999999914,14289434.999999842,120.06309523809524,64.32634594164006,68.00039829451595,19221.051911898416,11181.63508372959,10862.335159094382,15942.764880952378,8540.94203286113,8938.907440598618,8678.56272498743,4752.5943153620565,6869.388773057009,365
PVG,514647.0000000014,257435.99999999913,257210.99999999886,100867897.0,50472612.99999997,50395283.999999896,55311832.000000075,27669472.00000009,27642359.999999925,45556064.99999999,22803141.00000011,22752923.99999997,92.77703407703407,54.9123543123543,60.28322788322787,18365.97798867799,10732.185714285715,11469.619075369075,11878.656882006882,7489.484673659674,8388.548042235541,9446.25151098901,6406.862123987123,6515.218648018647,365
SFO,377444.00000000297,188771.99999999936,188672.00000000128,64642804.99999962,32337868.999999586,32304936.00000004,45235965.99999996,22615604.99999987,22620361.00000014,19406838.999999978,9722263.999999978,9684574.999999925,92.97748255218245,58.411309523809514,52.74628179466888,15416.636745085296,9851.30743161712,8953.362350802676,12698.849644225149,8170.870865277094,6564.771027771832,5532.600729551036,3120.5935467652744,4790.034402192233,365
CAN,520574.0000000005,260309.99999999924,260263.9999999991,98902607.0000002,49450907.00000012,49451700.000000075,77813179.00000001,38898479.99999994,38914698.999999925,21089427.999999855,10552426.999999998,10537001.0,92.7260545010545,56.8217254967255,60.079878454878454,17956.289285714287,10594.956931956933,11165.252602952605,15624.783333333335,9553.605192030192,10110.431146631148,4800.689377289377,2975.375957375956,3266.5418803418806,365
ORD,818017.9999999966,408819.0000000023,409198.9999999992,100860025.99999964,50375818.999999925,50484207.00000009,83010149.99999961,41504444.99999977,41505704.99999981,17849876.000000156,8871373.999999817,8978501.999999894,234.7633442048148,124.03403079586346,114.51795002383238,28992.999476362427,15276.537587771705,14094.426438036313,24025.516722493194,12523.264083521033,12365.749492515377,6335.291440153622,4271.006119370824,3126.2190891545733,365
IST,505063.00000000175,252474.99999999744,252587.9999999999,101499294.00000107,50740979.99999961,50758314.00000036,20335770.000000127,10168209.000000011,10167561.000000088,81163523.99999991,40572771.00000019,40590753.000000134,110.59206438954723,71.65768465559796,72.86187289834348,23030.40127493422,14254.35832677127,14906.002632661455,6054.05161701044,4053.975701789754,4578.822249353023,19965.480411549237,13467.719616714483,14310.642033035536,365
ATL,782068.9999999986,390961.00000000064,391108.00000000076,126131439.0000006,63045011.0000004,63086428.00000013,107826489.00000018,53914209.00000034,53912280.00000034,18304949.999999765,9130802.000000065,9174148.000000214,200.6438876092709,107.20844909704306,107.05153787389084,31119.26644170501,16695.70899505723,17039.095276280976,28529.624539904544,15737.683529845104,14257.110119047622,6761.923886894518,4376.179166666667,4545.90439829778,365
FCO,310577.0000000024,155237.99999999945,155339.00000000114,60384174.00000011,30182619.00000005,30201554.999999896,12964553.999999993,6483294.0000000205,6481259.999999998,47419619.999999896,23699324.999999918,23720295.000000045,75.84042833539576,50.813439322115784,50.06496758143816,14793.271439279675,9122.707194896606,9510.671401147873,4223.193263038495,3149.6225656412353,3473.331621654593,12503.412546530843,6887.87491416173,6771.310866257924,365
CLT,525885.9999999998,262940.0000000007,262945.9999999996,65733835.000000045,32867266.999999914,32866567.999999918,59586631.00000008,29793728.999999803,29792902.0,6147203.999999979,3073538.0000000023,3073666.0000000135,125.53702361758107,86.99204328351387,90.6024690452125,15687.621565997597,10601.205634727423,11196.709408573837,13786.981450693671,10164.315839683193,9869.1680536457,3011.6687156747466,1953.9692483507351,2739.752696539452,365
DEL,457228.9999999976,228718.0,228511.00000000148,91118130.99999954,45587851.99999965,45530279.00000024,65559373.000000045,32795483.999999925,32763888.999999963,25558758.00000008,12792367.999999996,12766390.000000013,81.03478743478743,45.01877011877012,43.378205128205124,15740.015642690643,9021.37349039849,8387.50641025641,12765.720646020647,7069.594871794871,6744.996153846154,4966.104761904762,2868.7200549450545,2779.177272727272,365
PEK,434477.0000000008,217028.00000000058,217449.00000000047,90462703.00000013,45179661.99999989,45283041.00000014,68598673.00000012,34270402.0000001,34328271.000000075,21864029.999999937,10909260.000000015,10954770.000000019,78.41208236208234,52.16441058941058,58.801875901875896,16733.589015151516,10520.297324897325,12539.861249861247,13931.310422910425,9629.202625152626,10155.479662004662,5404.9368409368435,5084.723096348096,4145.143989343989,365
PKX,346452.9999999994,173235.00000000032,173218.00000000015,63724684.999999925,31855547.000000022,31869138.000000034,56592866.99999994,28283335.000000015,28309532.000000026,7131818.000000044,3572211.999999997,3559605.999999989,68.29156121656122,46.99998473748474,52.83760683760684,12864.79951159951,8469.000552225552,9477.628060828065,12023.064427239427,8281.174575424577,9165.85506993007,2192.168956043956,1547.958041958042,1629.8045288045287,365
TFU,386411.9999999997,193253.99999999997,193157.99999999927,66672358.99999996,33337118.99999991,33335240.000000082,58834546.00000016,29425838.999999892,29408707.000000037,7837812.999999903,3911280.0000000247,3926533.0000000163,79.57339882339883,46.453812853812856,53.11426906426907,13924.28892080142,8087.285619935619,8887.36417193917,12815.685714285715,7511.159077034077,8736.416025641025,2704.8026196026194,2576.663131313131,2225.2107142857144,365
CDG,434975.0000000011,217428.00000000102,217547.00000000044,85994876.9999996,42979322.99999998,43015553.99999979,7242709.000000029,3621475.999999993,3621232.999999995,78752167.99999931,39357846.9999999,39394321.00000043,103.82967468913868,63.821562877494955,62.8172452516927,22004.97392966511,12371.976170594113,13278.805952380953,2568.445899851782,1536.8046936723406,1909.5431234469681,20536.392232277525,11747.24551530169,12916.474331420213,365
DXB,446142.0000000002,223136.00000000102,223005.99999999997,124288916.00000052,62162639.00000052,62126276.999999896,4424.000000000001,0.0,4424.000000000001,124284492.00000031,62162639.00000052,62121852.99999989,67.13943442178736,39.21068163183088,44.700986986869346,22001.766310285864,15021.980176033116,16373.158459585955,107.03225806451613,0.0,107.03225806451613,22001.766310285864,15021.980176033116,16373.158459585955,365
LHR,481088.999999999,240556.00000000015,240533.0000000007,104160958.00000031,52084062.99999923,52076895.00000005,6287682.000000004,3143845.0000000237,3143836.999999998,97873276.00000031,48940217.99999956,48933058.00000053,93.391273824215,46.85019105077929,48.22097884517987,20627.40494407947,11805.432069760305,10953.418904228718,2048.5511904761906,1204.6015800370492,1141.780341880342,20001.654404288525,11805.432069760305,10551.168904228718,365
