iata,name,country,size_m_pax_2025,screen_state,listed
ASW,Aswan,EG,0.8,not_assessed,True
ATA,Anta,PE,0.08,too_short,True
ATC,,,,not_assessed,False
ATH,Athens,GR,33.68,headroom,True
ATJ,,,,too_short,False
ATK,,US,,not_assessed,False
ATL,Atlanta,US,103.18,headroom,True
ATM,Altamira,BR,0.1,not_assessed,True
ATQ,Amritsar,IN,3.27,tightening,True
ATT,,US,,not_assessed,False
ATW,Appleton,US,1.22,not_assessed,True
ATY,,US,,not_assessed,False
ATZ,Asyut,EG,0.76,not_assessed,True
AUA,Aruba,AW,3.22,headroom,True
AUC,Arauca,CO,0.2,not_assessed,True
AUG,,US,,not_assessed,False
AUH,Abu Dhabi,AE,30.81,headroom,True
AUK,,US,,too_short,False
AUQ,Atuona,PF,0.06,not_assessed,True
AUS,Austin,US,22.9,headroom,True
AUX,Araguaina,BR,,not_assessed,True
AVA,Anshun,CN,,not_assessed,True
AVL,Asheville,US,2.22,headroom,True
AVP,,US,,not_assessed,False
AVV,,AU,,not_assessed,False
AWA,,,,not_assessed,False
AWZ,Ahwaz,IR,1.21,not_assessed,True
AXA,,AI,,not_assessed,False
AXD,Alexandroupolis,GR,0.32,not_assessed,True
AXF,,,,not_assessed,False
AXJ,AXJ,,0.11,not_assessed,True
AXM,Armenia,CO,0.7,not_assessed,True
AXT,Akita,JP,1.39,not_assessed,True
AXU,,ET,,not_assessed,False
AYJ,AYJ,,1.02,too_short,True
AYM,,,,not_assessed,False
AYP,Ayacucho,PE,0.48,not_assessed,True
AYQ,Ayers Rock,AU,0.36,not_assessed,True
AYT,Antalya,TR,27.54,headroom,True
AZA,Phoenix,US,1.92,not_assessed,True
AZD,Yazd,IR,0.26,not_assessed,True
AZO,,US,,not_assessed,False
AZR,Adrar,DZ,0.26,not_assessed,True
BAH,Bahrain,BH,10.91,headroom,True
BAL,Batman,TR,0.63,not_assessed,True
BAQ,Barranquilla,CO,3.37,tightening,True
BAR,,,,not_assessed,False
BAV,,CN,,not_assessed,False
BAX,Barnaul,RU,0.59,not_assessed,True
BBA,,CL,,not_assessed,False
BBI,Bhubaneswar,IN,5.19,headroom,True
BBK,Kasane,BW,0.1,not_assessed,True
BBN,Bario,MY,0.05,not_assessed,True
BBU,BBU,,0.65,too_short,True
BCD,Bacolod,PH,2.1,not_assessed,True
BCM,Bacau,RO,0.44,not_assessed,True
BCN,Barcelona,ES,54.25,tightening,True
BCV,,,,not_assessed,False
BDA,Bermuda,BM,0.91,not_assessed,True
BDB,Bundaberg,AU,0.18,not_assessed,True
BDJ,Banjarmasin,ID,3.6,headroom,True
BDL,Hartford,US,6.64,headroom,True
BDO,Bandung,ID,,headroom,True
BDP,,NP,,not_assessed,False
BDQ,Vadodara,IN,1.26,not_assessed,True
BDS,Brindisi,IT,3.15,tightening,True
BDU,Bardufoss,NO,,not_assessed,True
BEB,Benbecula,GB,0.05,not_assessed,True
BEF,,,,not_assessed,False
BEG,Belgrade,RS,8.81,headroom,True
BEJ,,ID,,not_assessed,False
BEK,BEK,,0.11,too_short,True
BEL,Belem,BR,4.09,headroom,True
BEN,,LY,,not_assessed,False
BER,Berlin,DE,25.46,too_short,True
BES,Brest,FR,0.92,not_assessed,True
BET,Bethel,US,,headroom,True
BEW,Beira,MZ,0.17,not_assessed,True
BEY,Beirut,LB,7.14,headroom,True
BFD,,US,,not_assessed,False
BFF,,US,,not_assessed,False
BFI,Seattle,US,0.03,not_assessed,True
BFJ,BFJ,,,not_assessed,True
BFL,Bakersfield,US,0.45,not_assessed,True
BFN,Bloemfontein,ZA,0.47,not_assessed,True
BFS,Belfast,GB,6.52,tightening,True
