iata,name,country,size_m_pax_2025,screen_state,listed
DJJ,Jayapura,ID,2.6,headroom,True
DKR,Dakar,SN,,not_assessed,True
DLA,Douala,CM,1.47,not_assessed,True
DLC,Dalian,CN,,headroom,True
DLG,,US,,not_assessed,False
DLH,,US,,not_assessed,False
DLI,Dalat,VN,1.92,not_assessed,True
DLM,Dalaman,TR,4.86,tightening,True
DLU,Dali,CN,3.54,headroom,True
DMB,,,,not_assessed,False
DME,Moscow,RU,12.6,headroom,True
DMK,Bangkok,TH,32.58,headroom,True
DMM,Dammam,SA,13.83,headroom,True
DMU,Dimapur,IN,0.44,not_assessed,True
DNH,,CN,,not_assessed,False
DNK,,UA,,not_assessed,False
DNZ,Denizli,TR,0.44,not_assessed,True
DOB,,,,not_assessed,False
DOD,DOD,,0.13,not_assessed,True
DOH,Doha,QA,53.48,headroom,True
DOM,,DM,,not_assessed,False
DOU,,BR,,not_assessed,False
DOY,,CN,,not_assessed,False
DPL,Dipolog,PH,0.35,not_assessed,True
DPO,Devonport,AU,0.17,not_assessed,True
DPS,Denpasar Bali,ID,24.67,headroom,True
DQA,,CN,,not_assessed,False
DRG,,US,,not_assessed,False
DRK,,CR,,not_assessed,False
DRO,Durango,US,0.56,not_assessed,True
DRP,DRP,,1.1,too_short,True
DRS,Dresden,DE,0.84,not_assessed,True
DRT,,,,too_short,False
DRV,,,,not_assessed,False
DRW,Darwin,AU,2.19,headroom,True
DSA,,GB,,not_assessed,False
DSE,,,,not_assessed,False
DSI,,,,too_short,False
DSM,Des Moines,US,3.3,tightening,True
DSN,Ordos,CN,,tightening,True
DSS,DSS,,3.25,headroom,True
DTB,DTB,,0.49,not_assessed,True
DTM,Dortmund,DE,3.02,not_assessed,True
DTU,,,,not_assessed,False
DTW,Detroit,US,33.81,headroom,True
DUB,Dublin,IE,34.93,headroom,True
DUD,Dunedin,NZ,0.89,not_assessed,True
DUJ,,US,,not_assessed,False
DUM,,,,not_assessed,False
DUR,Durban,ZA,5.39,headroom,True
DUS,Duesseldorf,DE,21.03,headroom,True
DUT,,US,,too_short,False
DVL,,US,,not_assessed,False
DVO,Davao,PH,4.49,headroom,True
DWC,DWC,,1.17,not_assessed,True
DWO,,,,not_assessed,False
DXB,Dubai,AE,101.58,headroom,True
DXJ,,,,too_short,False
DYG,,CN,,not_assessed,False
DYU,,TJ,,not_assessed,False
DZA,Dzaoudzi,YT,0.42,not_assessed,True
DZH,DZH,,1.52,too_short,True
EAM,Nejran,SA,1.35,too_short,True
EAR,,US,,not_assessed,False
EAS,San Sebastian,ES,0.46,not_assessed,True
EAT,,US,,not_assessed,False
EAU,,US,,not_assessed,False
EBB,Entebbe,UG,2.66,headroom,True
EBD,,,,not_assessed,False
EBL,Erbil,IQ,2.25,not_assessed,True
EBU,St-etienne,FR,,too_short,True
ECI,,,,too_short,False
ECN,,CY,,headroom,False
ECP,Panama City,US,2.01,headroom,True
EDI,Edinburgh,GB,16.35,headroom,True
EDL,Eldoret,KE,0.29,not_assessed,True
EDO,Edremit,TR,0.28,not_assessed,True
EEK,,US,,not_assessed,False
EFL,Kefallinia,GR,0.66,not_assessed,True
EGC,Bergerac,FR,,not_assessed,True
EGE,Vail,US,0.76,not_assessed,True
EGM,,SB,,not_assessed,False
EGN,,,,not_assessed,False
EGO,,,,not_assessed,False
EGS,Egilsstadir,IS,0.1,not_assessed,True
EHU,EHU,,0.36,too_short,True
EIN,Eindhoven,NL,6.39,tightening,True
EIS,,VG,,headroom,False
EJA,Barrancabermeja,CO,0.18,not_assessed,True
EJH,Wedjh,,,not_assessed,True
EJN,,,,not_assessed,False
EKO,,US,,not_assessed,False
ELD,,US,,not_assessed,False
ELF,,,,not_assessed,False
ELH,,BS,,not_assessed,False
ELI,,US,,not_assessed,False
ELM,,US,,not_assessed,False
ELP,El Paso,US,4.2,tightening,True
ELQ,Gassim,SA,1.79,not_assessed,True
ELS,East London,ZA,0.85,not_assessed,True
ELU,,DZ,,not_assessed,False
EMA,Nottingham,GB,3.12,headroom,True
EMD,Emerald,AU,0.25,not_assessed,True
EMK,,US,,too_short,False
EMR,,,,not_assessed,False
ENA,,US,,not_assessed,False
ENE,,ID,,not_assessed,False
ENH,Enshi,CN,2.24,not_assessed,True
ENI,,,,not_assessed,False
ENO,,,,too_short,False
ENU,Enugu,NG,0.44,not_assessed,True
ENY,,CN,,not_assessed,False
EOH,Medellin,CO,1.74,headroom,True
EPA,,,,too_short,False
EPR,Esperance,AU,0.06,not_assessed,True
EQS,Esquel,AR,,not_assessed,True
ERC,Erzincan,TR,0.44,not_assessed,True
ERF,Erfurt,DE,,not_assessed,True
ERH,ERH,,0.1,not_assessed,True
ERI,Erie,US,0.13,not_assessed,True
ERL,,CN,,not_assessed,False
ERS,Windhoek,NA,,not_assessed,True
ERZ,Erzurum,TR,1.13,not_assessed,True
ESB,Ankara,TR,13.39,headroom,True
ESC,,US,,not_assessed,False
ESD,,US,,not_assessed,False
ESL,,RU,,too_short,False
ESM,,EC,,not_assessed,False
ESU,Essaouira,MA,0.35,not_assessed,True
ETH,,,,not_assessed,False
ETM,ETM,,0.34,not_assessed,True
ETR,,EC,,not_assessed,False
ETZ,Metz/Nancy,FR,,not_assessed,True
EUG,Eugene,US,1.8,not_assessed,True
EUN,Laayoune,MA,0.33,not_assessed,True
EUX,,BQ,,not_assessed,False
EVE,Harstad-Narvik,NO,0.97,not_assessed,True
EVN,Yerevan,AM,5.46,headroom,True
EVV,Evansville,US,0.5,not_assessed,True
EWB,,US,,not_assessed,False
EWN,,US,,not_assessed,False
EWR,New York,US,47.34,at_ceiling,True
EXT,Exeter,GB,0.36,not_assessed,True
EYK,,RU,,not_assessed,False
EYP,El Yopal,CO,0.46,not_assessed,True
EYW,Key West,US,1.58,not_assessed,True
EZE,Buenos Aires,AR,11.21,headroom,True
EZS,Elazig,TR,0.98,not_assessed,True
EZV,,RU,,too_short,False
FAE,Faroe Islands,FO,0.53,not_assessed,True
FAI,Fairbanks,US,1.27,headroom,True
FAO,Faro,PT,9.62,tightening,True
FAR,Fargo,US,1.12,not_assessed,True
FAT,Fresno,US,2.78,tightening,True
FAV,Fakarava,PF,0.06,not_assessed,True
FAY,,US,,not_assessed,False
FBM,,CD,,not_assessed,False
FBS,,US,,not_assessed,False
FCA,Kalispell,US,1.06,not_assessed,True
FCO,Rome,IT,49.49,at_ceiling,True
FDE,Forde,NO,0.1,not_assessed,True
FDF,Fort de France,MQ,2.04,not_assessed,True
FDH,Friedrichshafen,DE,,not_assessed,True
FEG,Fergana,UZ,0.53,not_assessed,True
FEN,Fernando de Noronha,BR,0.36,not_assessed,True
FEZ,Fes,MA,1.88,not_assessed,True
FGI,Apia,WS,0.05,not_assessed,True
FIH,,CD,,not_assessed,False
FKB,Karlsruhe/Baden-Baden,DE,2.03,not_assessed,True
FKI,,CD,,too_short,False
FKL,,,,not_assessed,False
FKQ,,ID,,not_assessed,False
FKS,Fukushima,JP,0.3,not_assessed,True
FLA,Florencia,CO,0.14,not_assessed,True
FLG,,US,,not_assessed,False
FLL,Fort Lauderdale,US,32.94,headroom,True
FLN,Florianopolis,BR,5.0,headroom,True
FLO,,US,,not_assessed,False
FLR,Florence,IT,3.94,tightening,True
FLS,FLS,,0.03,not_assessed,True
FLW,Flores Island,PT,0.13,not_assessed,True
FLZ,,,,not_assessed,False
FMA,Formosa,AR,0.09,not_assessed,True
FMI,,,,not_assessed,False
FMM,Memmingen,DE,3.42,tightening,True
FMN,,US,,too_short,False
FMO,Muenster/osnabrueck,DE,1.09,not_assessed,True
FNA,Freetown,SL,0.59,not_assessed,True
FNC,Funchal,PT,4.81,tightening,True
FNI,Nimes,FR,0.24,not_assessed,True
FNJ,,KP,,not_assessed,False
FNT,,US,,not_assessed,False
FOC,Fuzhou,CN,,headroom,True
FOD,,,,not_assessed,False
FOG,Foggia,IT,0.17,not_assessed,True
FON,,,,not_assessed,False
FOR,Fortaleza,BR,5.73,headroom,True
FPO,,BS,,not_assessed,False
FRA,Frankfurt,DE,66.41,headroom,True
FRD,,US,,not_assessed,False
FRO,Floro,NO,0.16,not_assessed,True
FRS,Flores,GT,0.44,not_assessed,True
FRU,Bishkek,KG,,not_assessed,True
FRW,Francistown,BW,,not_assessed,True
FSC,Figari,FR,0.89,not_assessed,True
FSD,Sioux Falls,US,1.41,not_assessed,True
FSM,Fort Smith,US,0.13,not_assessed,True
FSP,St Pierre,PM,,too_short,True
FSZ,Shizuoka,JP,0.78,not_assessed,True
FTE,El Calafate,AR,0.88,not_assessed,True
FTU,,MG,,not_assessed,False
FUE,Fuerteventura,ES,5.86,tightening,True
FUG,,CN,,not_assessed,False
FUJ,Fukue,JP,0.21,not_assessed,True
FUK,Fukuoka,JP,28.17,headroom,True
FUO,,CN,,not_assessed,False
FUT,Futuna,WF,,not_assessed,True
FVM,,,,not_assessed,False
FWA,Fort Wayne,US,0.98,not_assessed,True
FYJ,,,,not_assessed,False
FYN,,,,not_assessed,False
FYU,,US,,not_assessed,False
GAJ,Yamagata,JP,0.4,not_assessed,True
GAL,,US,,not_assessed,False
GAM,,US,,not_assessed,False
GAN,,MV,,not_assessed,False
GAO,,,,too_short,False
GAU,Guwahati,IN,6.73,headroom,True
GAY,GAY,,0.37,not_assessed,True
GBD,,,,too_short,False
GBE,Gaborone,BW,0.66,not_assessed,True
GBT,Gorgan,IR,0.11,not_assessed,True
GCC,,US,,not_assessed,False
GCI,Guernsey,GB,0.82,headroom,True
GCK,Garden City,US,0.08,not_assessed,True
GCM,,KY,,not_assessed,False
GCW,,US,,not_assessed,False
GDE,,ET,,not_assessed,False
GDL,Guadalajara,MX,18.59,tightening,True
GDN,Gdansk,PL,6.64,headroom,True
GDQ,,ET,,not_assessed,False
GDT,,TC,,not_assessed,False
GDV,,US,,not_assessed,False
GDX,Magadan,RU,0.54,not_assessed,True
GEA,Noumea,NC,0.23,not_assessed,True
GEG,Spokane,US,4.27,headroom,True
GEL,Santo Angelo,BR,0.07,too_short,True
GEO,Georgetown,GY,1.26,not_assessed,True
GER,,CU,,not_assessed,False
GES,General Santos,PH,1.27,not_assessed,True
GET,Geraldton,AU,0.2,not_assessed,True
GEV,Gallivare,SE,,not_assessed,True
GFF,Griffith,AU,0.09,not_assessed,True
GFK,Grand Forks,US,0.19,not_assessed,True
GFN,,,,not_assessed,False
GGG,,US,,not_assessed,False
GGM,,,,not_assessed,False
GGR,,,,too_short,False
GGT,,BS,,not_assessed,False
GGW,,US,,not_assessed,False
GHA,Ghardaia,DZ,0.16,not_assessed,True
GHB,,BS,,not_assessed,False
GHS,,,,too_short,False
GHV,GHV,,0.27,too_short,True
GIB,Gibraltar,GI,0.42,not_assessed,True
GIG,Rio de Janeiro,BR,17.26,headroom,True
GIL,Gilgit,PK,0.05,not_assessed,True
GIS,,NZ,,not_assessed,False
GIU,,,,not_assessed,False
GIZ,Jazan,SA,2.67,tightening,True
GJL,Jijel,DZ,0.08,not_assessed,True
GJT,Grand Junction,US,0.62,not_assessed,True
GKA,,PG,,not_assessed,False
GKK,,,,not_assessed,False
GLA,Glasgow,GB,7.72,headroom,True
GLF,,CR,,not_assessed,False
GLH,,US,,not_assessed,False
GLK,,SO,,not_assessed,False
GLN,GLN,,0.05,too_short,True
GLO,,GB,,too_short,False
GLT,Gladstone,AU,0.27,not_assessed,True
GLV,,US,,not_assessed,False
GMB,,ET,,not_assessed,False
GMO,,NG,,not_assessed,False
GMP,Seoul,KR,18.08,headroom,True
GMQ,,,,not_assessed,False
GMZ,San Sebastian/Gomera,ES,0.17,not_assessed,True
GND,Grenada,GD,0.62,not_assessed,True
GNJ,,,,too_short,False
GNM,GNM,,0.05,too_short,True
GNS,,ID,,not_assessed,False
GNU,,US,,not_assessed,False
GNV,Gainesville,US,0.55,not_assessed,True
GNY,Sanliurfa,TR,0.94,not_assessed,True
GOA,Genoa,IT,1.49,not_assessed,True
GOB,,,,too_short,False
GOH,,GL,,not_assessed,False
GOI,Goa,IN,6.36,tightening,True
GOJ,Nizhny Novgorod,RU,1.17,not_assessed,True
GOM,,CD,,not_assessed,False
GOP,Gorakhpur,IN,1.09,not_assessed,True
GOQ,,CN,,not_assessed,False
GOT,Goteborg,SE,5.0,headroom,True
GOU,Garoua,CM,,too_short,True
GOV,Nhulunbuy,AU,0.13,not_assessed,True
GOX,GOX,,4.99,too_short,True
GPI,Guapi,CO,0.1,not_assessed,True
GPS,Baltra Island,EC,0.55,not_assessed,True
GPT,Gulfport/Biloxi,US,0.65,not_assessed,True
GRB,Green Bay,US,0.7,not_assessed,True
GRI,,US,,not_assessed,False
GRJ,George,ZA,0.93,not_assessed,True
GRK,,US,,not_assessed,False
GRO,Girona,ES,2.01,not_assessed,True
GRQ,Groningen,NL,,not_assessed,True
GRR,Grand Rapids,US,4.27,headroom,True
GRU,Sao Paulo,BR,45.68,headroom,True
GRV,,RU,,not_assessed,False
GRW,Graciosa Island,PT,0.09,not_assessed,True
GRX,Granada,ES,1.11,not_assessed,True
GRZ,Graz,AT,0.97,not_assessed,True
GSM,Gheshm Island,IR,0.27,not_assessed,True
GSO,Greensboro/High Point,US,2.14,headroom,True
GSP,Greenville,US,3.08,tightening,True
GST,,US,,not_assessed,False
GSV,,,,too_short,False
GTE,Groote Eylandt,AU,0.03,not_assessed,True
GTF,,US,,not_assessed,False
GTO,,ID,,not_assessed,False
GTR,,US,,not_assessed,False
GTZ,,,,not_assessed,False
GUA,Guatemala City,GT,5.31,tightening,True
GUC,Gunnison,US,0.16,not_assessed,True
GUM,Guam,GU,2.41,headroom,True
GUP,,,,too_short,False
GUR,,PG,,not_assessed,False
GUW,,KZ,,not_assessed,False
GVA,Geneva,CH,19.1,headroom,True
GVR,Governador Valadares,BR,0.1,not_assessed,True
GWD,Gwadar,PK,,not_assessed,True
GWL,Gwalior,IN,0.31,too_short,True
GWT,Westerland,DE,,not_assessed,True
GXH,,,,not_assessed,False
GYA,,BO,,not_assessed,False
GYD,Baku,AZ,6.9,headroom,True
GYE,Guayaquil,EC,4.56,headroom,True
GYN,Goiania,BR,3.75,headroom,True
GYS,Guangyuan,CN,0.75,not_assessed,True
GYU,,CN,,not_assessed,False
GZG,GZG,,0.08,too_short,True
GZO,,SB,,not_assessed,False
GZP,Gazipasa,TR,0.68,not_assessed,True
GZT,Gaziantep,TR,2.7,not_assessed,True
HAC,Hachijo Jima,JP,0.29,not_assessed,True
HAD,Halmstad,SE,,not_assessed,True
HAH,Moroni,KM,0.27,not_assessed,True
HAJ,Hannover,DE,5.11,headroom,True
HAK,Haikou,CN,27.23,headroom,True
HAM,Hamburg,DE,15.03,headroom,True
HAN,Hanoi,VN,33.04,headroom,True
HAQ,,MV,,not_assessed,False
HAS,Hail,SA,1.04,not_assessed,True
HAU,Haugesund,NO,0.65,not_assessed,True
HAV,Havana,CU,3.08,headroom,True
HBA,Hobart,AU,2.76,tightening,True
HBE,Alexandria,EG,2.08,headroom,True
HBX,Hubli,IN,0.37,not_assessed,True
HCJ,,,,not_assessed,False
HCR,,US,,not_assessed,False
HCZ,,,,too_short,False
HDG,,CN,,not_assessed,False
HDK,,,,too_short,False
HDN,Hayden,US,0.51,not_assessed,True
HDO,,,,too_short,False
HDS,,ZA,,not_assessed,False
HDY,Hat Yai,TH,3.23,headroom,True
HEA,,AF,,not_assessed,False
HEH,,MM,,not_assessed,False
HEK,,CN,,not_assessed,False
HEL,Helsinki,FI,18.65,headroom,True
HER,Irakleion,GR,7.47,tightening,True
HET,Hohhot,CN,12.94,tightening,True
HFA,,,,not_assessed,False
HFE,Hefei,CN,,headroom,True
HFT,Hammerfest,NO,0.27,not_assessed,True
HGA,,SO,,not_assessed,False
HGH,Hangzhou,CN,46.62,headroom,True
HGI,HGI,,0.2,too_short,True
HGN,Mae Hong Son,TH,,not_assessed,True
HGO,,,,not_assessed,False
HGR,,US,,not_assessed,False
HGU,,PG,,not_assessed,False
HHH,,US,,not_assessed,False
HHN,Frankfurt,DE,2.07,not_assessed,True
HHP,,,,not_assessed,False
HHR,,,,too_short,False
HIA,,CN,,not_assessed,False
HIB,,US,,not_assessed,False
HID,,AU,,not_assessed,False
HIJ,Hiroshima,JP,3.04,headroom,True
HIN,Jinju,KR,0.3,not_assessed,True
HIR,,SB,,not_assessed,False
HJJ,,CN,,not_assessed,False
HKD,Hakodate,JP,1.97,not_assessed,True
HKG,Hong Kong,HK,62.87,headroom,True
HKK,,NZ,,not_assessed,False
HKN,,PG,,not_assessed,False
HKR,,,,not_assessed,False
HKT,Phuket,TH,16.31,headroom,True
HLA,,ZA,,not_assessed,False
HLD,,CN,,headroom,False
HLH,,CN,,not_assessed,False
HLN,Helena,US,0.21,not_assessed,True
HLP,Jakarta,ID,2.77,tightening,True
HLZ,,NZ,,not_assessed,False
HMA,Khanty-Mansiysk,RU,0.5,not_assessed,True
HMB,Sohag,EG,,not_assessed,True
HME,Hassi Messaoud,DZ,,not_assessed,True
HMI,,CN,,not_assessed,False
HMO,Hermosillo,MX,2.19,not_assessed,True
HMS,,,,too_short,False
HNA,Hanamaki,JP,0.54,not_assessed,True
HND,Tokyo,JP,90.6,headroom,True
HNH,,US,,not_assessed,False
HNL,Honolulu,US,21.53,headroom,True
HNM,Hana,US,0.01,not_assessed,True
HNS,,US,,not_assessed,False
HNY,,,,not_assessed,False
HOB,,US,,not_assessed,False
HOD,,,,too_short,False
HOE,,,,not_assessed,False
HOF,Hofuf,SA,,not_assessed,True
HOG,Holguin,CU,0.37,not_assessed,True
HOM,,US,,not_assessed,False
HON,,,,too_short,False
HOR,Horta,PT,0.36,not_assessed,True
HOT,,US,,not_assessed,False
HOU,Houston,US,15.19,headroom,True
HOV,Orsta/Volda,NO,0.19,not_assessed,True
HPB,,US,,not_assessed,False
HPG,HPG,,,not_assessed,True
HPH,Haiphong,VN,2.42,not_assessed,True
HPN,Westchester County,US,2.66,tightening,True
HQQ,,,,too_short,False
HRB,Harbin,CN,,headroom,True
HRE,Harare,ZW,1.98,headroom,True
HRG,Hurghada,EG,6.61,headroom,True
HRI,,,,not_assessed,False
HRK,,,,not_assessed,False
HRL,,US,,not_assessed,False
HRO,,US,,not_assessed,False
HSA,,,,too_short,False
HSC,,,,too_short,False
HSG,Saga,JP,0.68,not_assessed,True
HSL,,US,,not_assessed,False
HSN,,CN,,headroom,False
HSR,HSR,,1.16,too_short,True
HSV,Huntsville,US,1.76,tightening,True
HTA,Chita,RU,0.78,not_assessed,True
HTI,Hamilton Island,AU,0.5,not_assessed,True
HTN,,CN,,not_assessed,False
HTS,Huntington,US,0.24,not_assessed,True
HTY,Hatay,TR,0.45,not_assessed,True
HUH,Huahine,PF,0.23,not_assessed,True
HUI,Hue,VN,2.11,not_assessed,True
HUN,Hualien,TW,0.15,not_assessed,True
HUO,,,,not_assessed,False
HUS,,US,,not_assessed,False
HUU,Huanuco,PE,0.16,not_assessed,True
HUX,Huatulco,MX,0.78,not_assessed,True
HUY,Humberside,GB,0.19,not_assessed,True
HUZ,Huizhou,,,tightening,True
HVB,Hervey Bay,AU,0.24,not_assessed,True
HVD,,MN,,not_assessed,False
HVG,Honningsvag,NO,,not_assessed,True
HVN,New Haven,US,1.63,not_assessed,True
HVR,,US,,not_assessed,False
HXD,,,,not_assessed,False
HYA,,US,,not_assessed,False
HYD,Hyderabad,IN,30.72,tightening,True
HYN,,,,not_assessed,False
HYS,,US,,not_assessed,False
HZA,,,,too_short,False
HZG,,CN,,not_assessed,False
HZH,,,,not_assessed,False
HZK,HZK,,,too_short,True
IAD,Washington,US,28.33,tightening,True
IAG,Niagara Falls,US,,not_assessed,True
IAH,Houston,US,47.61,headroom,True
IAN,,US,,not_assessed,False
IAO,Del Carmen,PH,0.77,not_assessed,True
IAS,Iasi,RO,2.04,not_assessed,True
IBA,Ibadan,NG,,not_assessed,True
IBB,,,,too_short,False
IBE,Ibague,CO,0.36,not_assessed,True
IBR,Ibaraki,JP,0.92,not_assessed,True
IBZ,Ibiza,ES,8.45,tightening,True
ICN,Seoul,KR,69.94,headroom,True
ICT,Wichita,US,1.95,headroom,True
IDA,Idaho Falls,US,0.67,not_assessed,True
IDR,Indore,IN,4.48,headroom,True
IEG,IEG,,,not_assessed,True
IEV,,UA,,not_assessed,False
IFJ,Isafjordur,IS,0.04,not_assessed,True
IFN,Esfahan,IR,0.48,not_assessed,True
IFO,,,,not_assessed,False
IFP,,,,too_short,False
IFU,,,,not_assessed,False
IGD,IGD,,0.35,not_assessed,True
IGR,Iguazu,AR,1.77,not_assessed,True
IGT,,RU,,not_assessed,False
IGU,Foz do Iguacu,BR,2.06,not_assessed,True
IIL,Ilam,IR,,not_assessed,True
IJK,,RU,,not_assessed,False
IKA,Tehran,IR,5.31,headroom,True
IKI,Iki,JP,0.05,not_assessed,True
IKT,Irkutsk,RU,3.44,headroom,True
ILG,,,,too_short,False
ILI,,US,,not_assessed,False
ILM,Wilmington,US,1.93,tightening,True
ILO,Ilo-ilo,PH,3.22,tightening,True
ILP,Ile des Pins,NC,,not_assessed,True
ILR,Ilorin,NG,0.18,not_assessed,True
ILY,Islay,GB,0.05,not_assessed,True
IMF,Imphal,IN,1.25,not_assessed,True
IMP,Imperatriz,BR,0.39,not_assessed,True
IMT,,US,,not_assessed,False
INB,,BZ,,not_assessed,False
INC,Yinchuan,CN,,headroom,True
IND,Indianapolis,US,11.05,tightening,True
INH,Inhambane,MZ,,not_assessed,True
INI,Nis,RS,0.4,not_assessed,True
INL,,US,,not_assessed,False
INN,Innsbruck,AT,0.84,not_assessed,True
INU,,NR,,too_short,False
INV,Inverness,GB,0.87,not_assessed,True
IOA,Ioannina,GR,0.09,not_assessed,True
IOM,Isle of Man,GB,0.75,not_assessed,True
IOS,Ilheus,BR,0.57,not_assessed,True
IPC,Easter Island,CL,0.26,not_assessed,True
IPH,Ipoh,MY,0.51,not_assessed,True
IPI,Ipiales,CO,0.23,not_assessed,True
IPL,,US,,not_assessed,False
IPN,Ipatinga,BR,0.16,not_assessed,True
IPT,,US,,not_assessed,False
IQM,,,,not_assessed,False
IQN,,,,not_assessed,False
IQQ,Iquique,CL,1.5,not_assessed,True
IQT,Iquitos,PE,1.02,not_assessed,True
IRI,,TZ,,not_assessed,False
IRJ,La Rioja,AR,0.09,not_assessed,True
IRK,,US,,not_assessed,False
ISA,Mount Isa,AU,0.32,not_assessed,True
ISB,Islamabad,PK,6.91,headroom,True
ISE,ISE,,,not_assessed,True
ISG,Ishigaki,JP,3.09,headroom,True
ISK,ISK,,0.39,not_assessed,True
ISN,,,,not_assessed,False
ISP,,US,,not_assessed,False
IST,Istanbul,TR,83.23,headroom,True
ISU,,IQ,,not_assessed,False
ITH,,US,,not_assessed,False
ITM,Osaka,JP,15.78,tightening,True
ITO,Hilo,US,1.54,not_assessed,True
ITU,,,,not_assessed,False
IVC,,NZ,,not_assessed,False
IVL,Ivalo,FI,0.28,not_assessed,True
IWA,,,,not_assessed,False
IWD,,US,,not_assessed,False
IWJ,Iwami,JP,0.18,not_assessed,True
IWK,IWK,,0.59,not_assessed,True
IXA,Agartala,IN,1.58,not_assessed,True
IXB,Bagdogra,IN,3.42,tightening,True
IXC,Chandigarh,IN,3.99,tightening,True
IXD,Allahabad,IN,0.88,not_assessed,True
IXE,Mangalore,IN,2.54,not_assessed,True
IXG,IXG,,0.31,not_assessed,True
IXJ,Jammu,IN,1.62,not_assessed,True
IXL,Leh,IN,1.14,not_assessed,True
IXM,Madurai,IN,1.37,not_assessed,True
IXR,Ranchi,IN,2.65,not_assessed,True
IXS,Silchar,IN,0.44,not_assessed,True
IXU,Aurangabad,IN,0.64,not_assessed,True
IXW,IXW,,0.02,too_short,True
IXY,Kandla,IN,,not_assessed,True
IXZ,Port Blair,IN,1.79,not_assessed,True
IZA,Juiz de Fora,BR,0.15,not_assessed,True
IZO,Izumo,JP,1.2,not_assessed,True
IZT,IZT,,,not_assessed,True
JAC,,US,,not_assessed,False
JAE,JAE,,,not_assessed,True
JAF,,,,too_short,False
JAI,Jaipur,IN,5.6,headroom,True
JAN,Jackson,US,1.3,not_assessed,True
JAU,Jauja,PE,,not_assessed,True
JAV,,GL,,not_assessed,False
JAX,Jacksonville,US,7.65,tightening,True
JBB,,,,not_assessed,False
JBK,,,,too_short,False
JBQ,Higuero,DO,0.09,not_assessed,True
JBR,,US,,not_assessed,False
JDH,Jodhpur,IN,1.0,not_assessed,True
JDO,Juazeiro do Norte,BR,0.45,not_assessed,True
JDZ,,CN,,not_assessed,False
JED,Jeddah,SA,50.84,headroom,True
JEG,,GL,,not_assessed,False
JEK,,,,not_assessed,False
JER,Jersey,GB,1.62,headroom,True
JFK,New York,US,62.99,tightening,True
JGA,Jamnagar,IN,0.13,not_assessed,True
JGB,JGB,,0.06,too_short,True
JGD,,,,not_assessed,False
JGN,,CN,,not_assessed,False
JGS,,CN,,not_assessed,False
JHB,Johor Bahru,MY,3.94,headroom,True
JHG,Jinghong,CN,7.15,tightening,True
JHM,Kapalua,US,0.01,not_assessed,True
JHS,,GL,,not_assessed,False
JHW,,,,not_assessed,False
JIB,Djibouti,DJ,0.6,not_assessed,True
JIC,,CN,,not_assessed,False
JIJ,,ET,,not_assessed,False
JIK,Ikaria Island,GR,0.08,not_assessed,True
JIM,,ET,,not_assessed,False
JIO,,,,too_short,False
JIQ,Qianjiang,CN,,not_assessed,True
JIU,,CN,,too_short,False
JJD,JJD,,0.24,too_short,True
JJG,JJG,,0.13,not_assessed,True
JJM,,KE,,not_assessed,False
JJN,Quanzhou,CN,,headroom,True
JKG,Jonkoping,SE,,not_assessed,True
JKH,Chios,GR,0.33,not_assessed,True
JKL,Kalymnos Island,GR,,too_short,True
JKR,,NP,,not_assessed,False
JLG,JLG,,0.18,too_short,True
JLN,,US,,not_assessed,False
JLR,Jabalpur,IN,0.51,not_assessed,True
JMJ,JMJ,,0.17,not_assessed,True
JMK,Mykonos,GR,1.5,not_assessed,True
JMO,,NP,,not_assessed,False
JMS,,US,,not_assessed,False
JMU,,CN,,not_assessed,False
JNB,Johannesburg,ZA,21.13,headroom,True
JNG,,CN,,not_assessed,False
JNU,Juneau,US,,tightening,True
JNX,Naxos Is,GR,0.25,not_assessed,True
JNZ,,CN,,not_assessed,False
JOE,Joensuu,FI,0.06,not_assessed,True
JOG,Yogyakarta,ID,0.15,headroom,True
JOI,Joinville,BR,0.57,not_assessed,True
JOS,Jos,NG,0.05,not_assessed,True
JPA,Joao Pessoa,BR,1.68,not_assessed,True
JPR,Ji-Parana,BR,,not_assessed,True
JRG,JRG,,0.45,too_short,True
JRH,Jorhat,IN,0.16,not_assessed,True
JRO,Kilimanjaro,TZ,1.26,headroom,True
JSA,JSA,,,not_assessed,True
JSH,Siteia,GR,0.07,not_assessed,True
JSJ,,,,not_assessed,False
JSR,,BD,,not_assessed,False
JST,,US,,not_assessed,False
JSY,Syros Island,GR,,too_short,True
JTC,Bauru,BR,0.07,not_assessed,True
JTR,Thira,GR,2.22,not_assessed,True
JUB,,SS,,not_assessed,False
JUH,,,,not_assessed,False
JUJ,Jujuy,AR,0.51,not_assessed,True
JUL,Juliaca,PE,0.62,not_assessed,True
JUZ,,CN,,not_assessed,False
JXA,,CN,,not_assessed,False
JYV,Jyvaskyla,FI,0.06,not_assessed,True
JZH,Jiuzhaigou,CN,,not_assessed,True
KAC,,,,not_assessed,False
KAD,Kaduna,NG,,not_assessed,True
KAE,,US,,not_assessed,False
KAJ,Kajaani,FI,0.06,not_assessed,True
KAL,,US,,not_assessed,False
KAN,Kano,NG,0.73,not_assessed,True
KAO,Kuusamo,FI,0.09,not_assessed,True
KAW,,MM,,not_assessed,False
KAZ,,ID,,not_assessed,False
KBL,,AF,,not_assessed,False
KBP,Kyiv,UA,,headroom,True
